112.32;8.488;-0.939;4.95;
112.329994;8.411;-0.956;4.878;
112.34;8.425;-0.985;4.853;
112.35;8.359;-1.094;4.903;
112.35999;8.362;-1.151;4.865;
112.369995;8.335;-1.175;4.964;
112.38;8.363;-1.139;4.965;
112.38999;8.305;-1.083;5.083;
112.399994;8.328;-1.154;4.993;
112.409996;8.33;-1.289;4.995;
112.42;8.359;-1.368;4.951;
112.42999;8.339;-1.431;4.976;
112.439995;8.35;-1.359;5.057;
112.45;8.335;-1.359;5.016;
112.45999;8.333;-1.249;4.944;
112.46999;8.31;-1.225;4.908;
112.479996;8.302;-1.351;4.94;
112.48999;8.306;-1.432;4.858;
112.49999;8.346;-1.484;4.822;
112.509995;8.3;-1.525;4.707;
112.52;8.218;-1.539;4.729;
112.52999;8.154;-1.521;4.822;
112.53999;8.117;-1.558;4.913;
112.55;8.095;-1.579;5.062;
112.56;8.311;-1.476;4.938;
112.57;8.321;-1.507;4.89;
112.58;8.341;-1.523;4.846;
112.59;8.333;-1.671;4.972;
112.6;8.119;-1.721;5.127;
112.61;7.983;-1.696;5.042;
112.62;8.038;-1.533;5.195;
112.63;8.086;-1.406;5.14;
112.64;8.229;-1.359;5.091;
112.65;8.387;-1.516;5.118;
112.659996;8.324;-1.67;5.33;
112.67;8.206;-1.699;5.11;
112.68;8.202;-1.668;5.002;
112.69;8.116;-1.497;5.235;
112.7;8.05;-1.355;5.093;
112.71;8.03;-1.292;5.077;
112.72;8.024;-1.367;5.158;
112.729996;8.123;-1.514;5.205;
112.74;8.186;-1.535;5.433;
112.75;8.099;-1.6;5.242;
112.759995;8.067;-1.665;5.371;
112.77;7.773;-1.83;5.68;
112.78;7.67;-1.857;5.685;
112.79;7.709;-1.8;5.686;
112.799995;7.786;-1.755;5.484;
112.81;7.946;-1.845;5.534;
112.82;8.011;-1.862;5.448;
112.829994;8.007;-1.853;5.466;
112.84;7.999;-1.844;5.408;
112.85;7.813;-1.904;5.4;
112.85999;7.729;-1.945;5.39;
112.869995;7.68;-1.892;5.475;
112.88;7.625;-1.847;5.613;
112.89;7.605;-1.843;5.843;
112.899994;7.635;-1.899;5.911;
112.909996;7.632;-1.917;5.77;
112.92;7.673;-1.947;5.711;
112.92999;7.674;-2.154;5.763;
112.939995;7.594;-2.34;5.784;
112.95;7.557;-2.391;5.752;
112.96;7.52;-2.443;5.804;
112.96999;7.364;-2.518;5.98;
112.979996;7.245;-2.632;5.845;
112.99;7.163;-2.778;5.973;
112.99999;7.107;-2.861;5.985;
113.009995;7.04;-2.967;5.979;
113.02;7.052;-2.952;6.019;
113.02999;7.109;-2.966;6.0;
113.03999;7.17;-2.977;6.064;
113.049995;7.198;-2.958;6.177;
113.06;7.095;-2.877;6.292;
113.06999;6.962;-2.88;6.446;
113.079994;6.868;-2.857;6.524;
113.09;6.848;-3.12;6.511;
113.09999;6.914;-3.3;6.375;
113.10999;6.991;-3.328;6.37;
113.119995;6.984;-3.421;6.238;
113.12999;6.991;-3.568;6.219;
113.13999;6.942;-3.604;6.17;
113.15;6.902;-3.598;6.252;
113.16;6.839;-3.612;6.548;
113.17;6.786;-3.49;6.356;
113.18;6.869;-3.287;6.495;
113.19;6.829;-3.193;6.555;
113.2;6.858;-3.182;6.607;
113.21;6.914;-3.046;6.537;
113.22;6.854;-3.039;6.439;
113.229996;6.736;-3.131;6.589;
113.24;6.622;-3.201;6.547;
113.25;6.397;-3.391;6.519;
113.26;6.368;-3.395;6.435;
113.27;6.37;-3.334;6.32;
113.28;6.358;-3.246;6.314;
113.29;6.428;-3.213;6.264;
113.299995;6.464;-3.141;6.332;
113.31;6.42;-3.19;6.42;
113.32;6.433;-3.334;6.434;
113.33;6.296;-3.611;6.536;
113.34;6.214;-3.808;6.506;
